UniqueID,descriptiveLine,copyNumber,creditLine,historicalContextNote,objectHistoryNote,object,summary,productionNote,recordCreationDate,uniqueID,physicalDescription,materialsTechniques,dimensionsNote,imageResolution,contentDescription,recordModificationDate,museumNumber,aspects: item_count,images: item_count,objectNumber: item_count,collectionCode,productionType
O1473526,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473525,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473524,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473523,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473522,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473521,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473520,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473519,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473518,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473517,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473516,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473515,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473514,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473513,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473512,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473511,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473510,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473509,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473508,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473507,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473506,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473505,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473504,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473503,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473502,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473501,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473500,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473499,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473498,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473497,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473496,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473493,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473492,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473491,0,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473490,0,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473489,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473488,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473487,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473486,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473485,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473484,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473483,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473482,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473481,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473480,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473479,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473478,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473477,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473476,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473475,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473474,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473473,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473472,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473471,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473470,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473469,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473468,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473467,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473466,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473465,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473464,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473463,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473462,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473459,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473458,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,3,1,0,1,3,0
O1473457,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473456,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473455,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473454,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473453,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473452,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473451,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473450,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473449,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473448,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473447,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473446,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473445,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473444,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473443,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473442,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473441,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473440,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473439,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473438,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473437,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473436,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473435,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473434,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473433,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473432,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473431,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473430,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473429,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473428,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473427,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473426,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473425,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473424,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473423,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473422,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473421,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473420,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473419,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473418,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473417,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473416,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473415,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473414,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473413,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473412,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473411,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473410,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473409,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473408,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473407,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473406,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473405,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473404,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473403,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473402,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473401,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473400,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473399,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473398,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473397,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473396,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473395,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473394,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473393,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473392,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473391,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473390,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473389,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473388,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473387,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473386,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473385,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473384,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473383,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473382,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473381,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473380,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473379,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473378,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473377,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473376,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473375,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473374,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473373,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473372,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473371,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473370,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473369,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473368,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473367,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473366,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473365,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473364,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473363,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473362,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473361,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473360,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473359,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473358,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473357,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473356,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473355,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473354,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473353,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473352,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473351,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473350,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473349,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473348,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473347,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473346,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473345,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473344,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473343,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,13,1,0,1,3,0
O1473342,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
O1473341,37,0,0,0,0,21,0,0,10,8,0,0,0,3,0,10,12,1,0,1,3,0
